UFL,UFC,UFR,Vel_Izq,Vel_Der
2536,118,162,80,89
2518,118,172,85,84
2534,117,177,85,84
2505,118,181,85,84
2535,119,185,85,84
2541,120,195,85,84
2492,120,195,85,84
2530,117,203,85,84
2563,121,198,85,84
2548,124,194,85,84
2530,123,182,85,84
2530,126,173,85,84
2542,123,170,85,84
2515,124,175,85,84
2486,123,180,85,84
2486,120,174,85,84
2494,124,174,85,84
2455,122,174,85,84
2476,123,176,85,84
2491,123,182,85,84
2484,120,180,85,84
2475,124,191,85,84
2480,125,208,85,84
2484,121,195,85,84
2450,121,186,85,84
2481,122,183,85,84
2458,123,182,85,84
2430,120,192,85,84
2456,122,191,85,84
2452,123,191,85,84
2425,122,189,85,84
2461,123,190,85,84
2446,124,189,85,84
2440,122,187,85,84
2479,125,186,85,84
2489,124,186,85,84
2511,124,184,85,84
2549,124,183,85,84
2549,125,179,85,84
2487,124,178,85,84
2503,124,177,85,84
2508,125,165,85,84
2527,126,163,85,84
2505,126,158,85,84
2490,127,154,93,76
2493,126,151,88,81
2499,129,140,88,81
2508,129,137,88,81
2490,131,133,88,81
2497,133,130,88,81
2466,139,121,88,81
2477,143,120,88,81
2500,146,117,88,81
2492,151,116,88,81
2498,153,113,88,81
2536,162,114,88,81
2490,167,114,88,81
2477,173,111,88,81
2480,179,113,88,81
2468,188,111,88,81
2426,190,110,88,81
2465,197,111,88,81
2425,202,109,88,81
2355,207,111,88,81
2503,224,115,95,74
2557,242,112,90,79
2588,229,114,90,79
2505,239,113,90,79
2433,236,115,90,79
2126,227,112,90,79
2117,243,114,90,79
2383,232,113,90,79
2469,237,112,90,79
2426,239,112,90,79
2461,231,118,90,79
2440,244,114,90,79
2408,234,113,90,79
2406,227,117,90,79
2387,231,114,90,79
2413,248,115,90,79
2378,265,116,90,79
2488,279,116,90,79
2473,282,114,90,79
2395,295,115,90,79
2513,303,118,90,79
2491,258,117,90,79
2527,264,122,90,79
2470,273,130,90,79
2509,259,146,90,79
2476,260,154,90,79
2528,263,151,90,79
2546,282,133,90,79
2493,278,124,90,79
2492,247,116,90,79
2499,253,116,90,79
2487,255,110,90,79
2519,261,112,90,79
2512,247,110,90,79
2499,253,113,90,79
2473,252,111,90,79
2444,255,114,90,79
2466,243,114,90,79
2480,237,113,90,79
2493,235,107,90,79
2480,231,111,90,79
2441,243,112,90,79
2443,235,113,90,79
2473,237,112,90,79
2455,237,115,90,79
2480,227,114,90,79
2492,233,112,90,79
2479,229,114,90,79
2499,226,114,90,79
2479,221,114,90,79
2458,221,109,90,79
2469,230,108,90,79
