UFL,UFC,UFR,Vel_Izq,Vel_Der
2151,95,156,120,120
2094,57,125,120,120
2091,55,125,120,120
2079,53,121,120,120
2074,56,121,120,120
2074,58,124,120,120
2074,55,125,120,120
2059,67,132,120,120
1961,56,123,120,120
1864,53,119,120,120
1815,55,120,120,120
1762,62,122,120,120
1783,54,123,120,120
1763,55,117,120,120
1710,55,123,120,120
1719,55,122,120,120
1662,52,122,120,120
1572,58,119,120,120
1494,44,125,120,120
1486,56,123,120,120
1290,2,118,120,120
1254,58,113,101,138
1189,54,118,116,123
1011,56,118,116,123
825,34,118,116,123
689,68,118,116,123
563,59,120,116,123
473,62,122,116,123
231,60,118,116,123
188,61,118,116,123
178,66,118,116,123
165,66,117,116,123
134,14,78,134,105
143,66,112,101,138
139,68,118,116,123
130,67,118,116,123
76,23,71,135,104
72,77,115,102,137
118,77,119,116,123
70,35,68,135,104
116,90,119,101,138
120,94,121,116,123
119,98,116,116,123
125,100,114,116,123
62,61,89,134,105
103,111,121,101,138
113,120,110,116,123
113,129,126,116,123
121,132,132,116,123
68,91,118,116,123
116,147,132,116,123
115,162,127,98,141
67,111,90,149,90
123,162,134,81,158
75,117,80,149,90
117,169,130,82,157
121,169,135,113,126
116,202,129,113,126
107,202,130,113,126
114,225,134,113,126
111,218,136,113,126
81,143,83,149,90
118,203,131,83,156
117,194,130,113,126
116,161,139,113,126
108,173,131,113,126
122,198,124,113,126
117,173,124,113,126
58,121,77,150,89
114,187,114,83,156
116,179,125,113,126
74,166,108,113,126
112,183,121,113,126
110,177,122,113,126
114,176,119,113,126
60,124,76,150,89
112,165,126,84,155
77,110,111,132,107
117,164,124,98,141
113,153,119,113,126
113,171,122,113,126
112,156,121,113,126
60,99,73,150,89
59,95,121,101,138
114,158,119,98,141
76,95,73,150,89
111,135,121,101,138
66,79,77,135,104
109,120,114,101,138
112,112,115,116,123
110,109,70,134,105
71,54,115,101,138
67,51,66,134,105
63,90,125,101,138
66,36,74,134,105
116,73,119,101,138
121,72,116,116,123
74,26,68,135,104
129,71,113,101,138
122,65,120,116,123
87,16,78,134,105
93,48,116,102,137
141,62,117,116,123
95,19,68,135,104
141,60,118,101,138
140,64,117,116,123
147,65,117,116,123
136,62,119,116,123
121,17,72,134,105
130,75,118,101,138
127,74,115,116,123
121,62,117,116,123
119,76,118,116,123
117,81,118,116,123
114,85,119,116,123
113,93,119,116,123
110,97,69,135,104
85,50,106,101,138
117,110,116,116,123
115,119,118,116,123
111,130,118,116,123
115,137,120,116,123
113,165,117,98,141
114,151,119,113,126
115,166,121,113,126
117,180,123,113,126
120,293,126,113,126
117,307,131,113,126
120,588,133,113,126
121,571,141,113,126
133,590,143,113,126
128,1002,142,113,126
122,757,148,113,126
133,724,151,113,126
142,842,174,113,126
132,896,176,113,126
137,884,207,113,126
140,885,308,113,126
87,858,428,113,126
141,974,572,113,126
164,990,663,113,126
157,1007,706,113,126
166,1072,681,113,126
124,1114,634,113,126
137,1227,581,113,126
213,1244,538,113,126
292,1200,438,113,126
432,1274,410,113,126
536,1398,486,113,126
592,1480,547,113,126
646,1501,645,113,126
627,1371,632,113,126
716,1457,683,113,126
836,1468,737,113,126
918,1532,820,113,126
889,1479,886,113,126
827,1538,911,113,126
797,1659,886,113,126
845,1717,863,113,126
838,1689,866,113,126
823,1654,963,113,126
826,1612,1085,113,126
803,1563,1134,113,126
741,1531,1092,113,126
669,1511,1047,113,126
609,1496,1005,113,126
520,1456,903,113,126
556,1509,945,113,126
491,1483,959,113,126
425,1443,977,113,126
341,1401,981,113,126
207,1386,955,113,126
220,1384,973,113,126
200,1364,996,113,126
194,1338,994,113,126
167,1276,974,113,126
174,1174,954,113,126
165,1113,929,113,126
109,1027,804,113,126
159,1072,731,113,126
113,1017,536,113,126
161,994,414,113,126
155,962,350,113,126
164,991,333,113,126
144,1041,237,113,126
98,1014,207,113,126
145,930,203,113,126
144,733,196,113,126
148,613,189,113,126
133,522,175,113,126
129,371,168,113,126
137,214,155,113,126
130,178,164,113,126
119,170,149,113,126
79,105,93,150,89
119,137,126,101,138
86,79,86,135,104
117,78,87,119,120
112,114,138,101,138
115,103,133,116,123
73,52,84,134,105
123,81,127,101,138
117,66,87,134,105
127,70,125,102,137
135,79,119,116,123
154,67,122,116,123
196,64,123,116,123
639,61,127,116,123
1227,61,120,116,123
